"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2015-07-30","1438214400","0"
"2015-07-31","1438300800","0"
"2015-08-01","1438387200","0"
"2015-08-02","1438473600","0"
"2015-08-03","1438560000","0"
"2015-08-04","1438646400","0"
"2015-08-05","1438732800","0"
"2015-08-06","1438819200","0"
"2015-08-07","1438905600","34"
"2015-08-08","1438992000","74"
"2015-08-09","1439078400","31"
"2015-08-10","1439164800","38"
"2015-08-11","1439251200","18"
"2015-08-12","1439337600","43"
"2015-08-13","1439424000","36"
"2015-08-14","1439510400","31"
"2015-08-15","1439596800","20"
"2015-08-16","1439683200","18"
"2015-08-17","1439769600","9"
"2015-08-18","1439856000","9"
"2015-08-19","1439942400","22"
"2015-08-20","1440028800","37"
"2015-08-21","1440115200","31"
"2015-08-22","1440201600","17"
"2015-08-23","1440288000","64"
"2015-08-24","1440374400","9"
"2015-08-25","1440460800","38"
"2015-08-26","1440547200","44"
"2015-08-27","1440633600","22"
"2015-08-28","1440720000","35"
"2015-08-29","1440806400","30"
"2015-08-30","1440892800","25"
"2015-08-31","1440979200","31"
"2015-09-01","1441065600","39"
"2015-09-02","1441152000","36"
"2015-09-03","1441238400","39"
"2015-09-04","1441324800","41"
"2015-09-05","1441411200","48"
"2015-09-06","1441497600","32"
"2015-09-07","1441584000","78"
"2015-09-08","1441670400","18"
"2015-09-09","1441756800","27"
"2015-09-10","1441843200","13"
"2015-09-11","1441929600","21"
"2015-09-12","1442016000","41"
"2015-09-13","1442102400","43"
"2015-09-14","1442188800","35"
"2015-09-15","1442275200","21"
"2015-09-16","1442361600","26"
"2015-09-17","1442448000","27"
"2015-09-18","1442534400","69"
"2015-09-19","1442620800","51"
"2015-09-20","1442707200","62"
"2015-09-21","1442793600","61"
"2015-09-22","1442880000","48"
"2015-09-23","1442966400","35"
"2015-09-24","1443052800","48"
"2015-09-25","1443139200","50"
"2015-09-26","1443225600","4"
"2015-09-27","1443312000","28"
"2015-09-28","1443398400","21"
"2015-09-29","1443484800","23"
"2015-09-30","1443571200","37"
"2015-10-01","1443657600","19"
"2015-10-02","1443744000","10"
"2015-10-03","1443830400","11"
"2015-10-04","1443916800","5"
"2015-10-05","1444003200","53"
"2015-10-06","1444089600","18"
"2015-10-07","1444176000","21"
"2015-10-08","1444262400","17"
"2015-10-09","1444348800","12"
"2015-10-10","1444435200","10"
"2015-10-11","1444521600","12"
"2015-10-12","1444608000","66"
"2015-10-13","1444694400","53"
"2015-10-14","1444780800","58"
"2015-10-15","1444867200","75"
"2015-10-16","1444953600","47"
