Transaction Hash,Status,Method,BlockNo,DateTime (UTC+3),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0xf3d124736594f4d49bb18383df60c43a3fdfffdb88a059233933f5deeb93c992","Success","Mint","5727026","2024-04-18 23:36:48","0x0000000000000000000000000000000000000000","","0x925d7A81Ca6B51Fa25208fE53f3d6e5d10537d6E","","ERC-721","NFT: SomniaAvatar","1"
"0xb7dd9a56247b232ce3a289347d642d89e33404dc33e89dc0aa7a5bb8c2823bd4","Success","Cancel Order","5727026","2024-04-18 23:36:48","0x177f42a6c96E13a1bd35154Dd800e57994acB8D5","","0xf16FF285776765e687E9d5BFc50e6637f42e945A","","ERC-721","NFT: Clever Robots Crew 1","1"
"0x6a2ffbedabfbcfcec7aaf0a35029bd4928da31354ccb11441b3f96540994829d","Success","Mint","5727025","2024-04-18 23:36:36","0x0000000000000000000000000000000000000000","","0x865eAC7d293D0F36e1623010c17005dbe7c2e888","","ERC-721","NFT: SomniaAvatar","1"
"0x72926c7ec76cffa6e1494cc2f918c002504063b789935469cdfe2cd8c40ae484","Success","Mechanic Mint Num","5727025","2024-04-18 23:36:36","0x0000000000000000000000000000000000000000","","0x2D631a9C0FF16B57E6c85789341ef2C1BC7d0a2b","","ERC-721","NFT: BRN&amp;RDM","1"
"0x72926c7ec76cffa6e1494cc2f918c002504063b789935469cdfe2cd8c40ae484","Success","Mechanic Mint Num","5727025","2024-04-18 23:36:36","0x2D631a9C0FF16B57E6c85789341ef2C1BC7d0a2b","","0x0000000000000000000000000000000000000000","","ERC-1155","NFT: MyContract","2"
"0x91c0ae74efb2c62e86583750197f077b756dcc525ff9cff9cdc03975038cb096","Success","Mint","5727024","2024-04-18 23:36:12","0x0000000000000000000000000000000000000000","","0x8039bB70635AE031f591927464B1456697e9A9ac","","ERC-721","NFT: SomniaAvatar","1"
"0xe1bc8a110a51d90f24de6444e0f90bcba149ffa27067c1637334e0d3fe5d9399","Success","Register","5727024","2024-04-18 23:36:12","0x0000000000000000000000000000000000000000","","0x0635513f179D50A207757E05759CbD106d7dFcE8","","ERC-721","NFT","1"
"0xe1bc8a110a51d90f24de6444e0f90bcba149ffa27067c1637334e0d3fe5d9399","Success","Register","5727024","2024-04-18 23:36:12","0x0000000000000000000000000000000000000000","","0x0000000000a2d441d85315e5163dEEC094bf6FE1","","ERC-1155","NFT: NameWrapper","1"
"0x2c444ab22ea1e2397093ea8c4ab4c79c9e70f3feb9fd412debb98eca00c6805b","Success","Mint From Fixed Price Sale With Early Access Allowlist V2","5727023","2024-04-18 23:36:00","0x0000000000000000000000000000000000000000","","0x908EAbB5928e4dF42fE2Ae96653b19A6918e8CFe","","ERC-721","NFT: test","1"
"0x24ff3b526f55ad0d852d51194402a2b633601f4c2521184187e558d574fdb9a6","Success","Register","5727018","2024-04-18 23:34:48","0x0000000000000000000000000000000000000000","","0x0635513f179D50A207757E05759CbD106d7dFcE8","","ERC-721","NFT","1"
"0x24ff3b526f55ad0d852d51194402a2b633601f4c2521184187e558d574fdb9a6","Success","Register","5727018","2024-04-18 23:34:48","0x0000000000000000000000000000000000000000","","0x0000000000a2d441d85315e5163dEEC094bf6FE1","","ERC-1155","NFT: NameWrapper","1"
